ref_area,indicator,source,time,obs_value,obs_status
ARM,LAP_2GDP_NOC_RT,XA:1931,2009,57.006,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2008,55.759,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2007,57.042,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2006,58.194,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2005,58.93,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2004,59.28,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2020,56.101,
AUS,LAP_2GDP_NOC_RT,XA:2202,2019,57.161,
AUS,LAP_2GDP_NOC_RT,XA:2202,2018,55.382,
AUS,LAP_2GDP_NOC_RT,XA:2202,2017,56.536,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2016,56.891,
AUS,LAP_2GDP_NOC_RT,XA:2202,2015,59.067,
AUS,LAP_2GDP_NOC_RT,XA:2202,2014,58.304,
AUS,LAP_2GDP_NOC_RT,XA:2202,2013,57.727,
AUS,LAP_2GDP_NOC_RT,XA:2202,2012,58.002,
AUS,LAP_2GDP_NOC_RT,XA:2202,2011,58.614,
AUS,LAP_2GDP_NOC_RT,XA:2202,2010,57.147,
AUS,LAP_2GDP_NOC_RT,XA:2202,2009,56.983,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2008,56.679,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2007,58.343,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2006,58.66,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2005,59.065,M
AUS,LAP_2GDP_NOC_RT,XA:2202,2004,59.519,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2020,59.645,
AUT,LAP_2GDP_NOC_RT,XA:2089,2019,58.381,
AUT,LAP_2GDP_NOC_RT,XA:2089,2018,58.857,
AUT,LAP_2GDP_NOC_RT,XA:2089,2017,60.704,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2016,61.679,
AUT,LAP_2GDP_NOC_RT,XA:2089,2015,59.558,
AUT,LAP_2GDP_NOC_RT,XA:2089,2014,61.443,
AUT,LAP_2GDP_NOC_RT,XA:2089,2013,58.592,
AUT,LAP_2GDP_NOC_RT,XA:2089,2012,58.643,
AUT,LAP_2GDP_NOC_RT,XA:2089,2011,58.317,
AUT,LAP_2GDP_NOC_RT,XA:2089,2010,59.522,
AUT,LAP_2GDP_NOC_RT,XA:2089,2009,60.502,
AUT,LAP_2GDP_NOC_RT,XA:2089,2008,59.414,
AUT,LAP_2GDP_NOC_RT,XA:2089,2007,59.013,M
AUT,LAP_2GDP_NOC_RT,XA:2089,2006,59.764,
AUT,LAP_2GDP_NOC_RT,XA:2089,2005,60.348,
AUT,LAP_2GDP_NOC_RT,XA:2089,2004,60.709,M
AZE,LAP_2GDP_NOC_RT,XA:2121,2020,46.038,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2019,44.889,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2018,45.372,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2017,44.743,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2016,48.322,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2015,49.074,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2014,41.221,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2013,39.384,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2012,36.916,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2011,35.185,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2010,38.188,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2009,40.865,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2008,32.883,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2007,34.453,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2006,38.59,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2005,50.142,I
AZE,LAP_2GDP_NOC_RT,XA:2121,2004,55.356,I
BDI,LAP_2GDP_NOC_RT,XA:2153,2020,38.287,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2019,38.532,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2018,38.97,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2017,39.35,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2016,36.706,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2015,44.58,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2014,39.43,
BDI,LAP_2GDP_NOC_RT,XA:2153,2013,40.806,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2012,43.184,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2011,39.198,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2010,35.032,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2009,37.645,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2008,36.102,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2007,43.63,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2006,32.444,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2005,33.737,M
BDI,LAP_2GDP_NOC_RT,XA:2153,2004,32.587,M
BEL,LAP_2GDP_NOC_RT,XA:2185,2020,63.58,
BEL,LAP_2GDP_NOC_RT,XA:2185,2019,62.129,
BEL,LAP_2GDP_NOC_RT,XA:2185,2018,61.616,
BEL,LAP_2GDP_NOC_RT,XA:2185,2017,61.606,M
BEL,LAP_2GDP_NOC_RT,XA:2185,2016,62.5,
BEL,LAP_2GDP_NOC_RT,XA:2185,2015,63.837,
BEL,LAP_2GDP_NOC_RT,XA:2185,2014,64.674,
BEL,LAP_2GDP_NOC_RT,XA:2185,2013,67.211,
BEL,LAP_2GDP_NOC_RT,XA:2185,2012,66.227,
BEL,LAP_2GDP_NOC_RT,XA:2185,2011,65.656,
BEL,LAP_2GDP_NOC_RT,XA:2185,2010,65.18,
BEL,LAP_2GDP_NOC_RT,XA:2185,2009,66.091,
BEL,LAP_2GDP_NOC_RT,XA:2185,2008,65.192,
BEL,LAP_2GDP_NOC_RT,XA:2185,2007,64.946,
BEL,LAP_2GDP_NOC_RT,XA:2185,2006,64.305,
BEL,LAP_2GDP_NOC_RT,XA:2185,2005,64.413,M
BEL,LAP_2GDP_NOC_RT,XA:2185,2004,64.416,M
BEN,LAP_2GDP_NOC_RT,XA:2018,2020,36.622,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2019,36.013,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2018,36.16,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2017,36.524,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2016,37.45,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2015,38.03,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2014,35.902,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2013,35.451,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2012,36.401,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2011,37.08,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2010,37.451,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2009,37.351,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2008,36.214,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2007,35.753,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2006,36.67,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2005,37.652,I
BEN,LAP_2GDP_NOC_RT,XA:2018,2004,38.579,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2020,49.122,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2019,48.976,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2018,48.678,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2017,45.602,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2016,44.933,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2015,47.593,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2014,46.643,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2013,44.881,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2012,43.246,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2011,43.832,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2010,45.161,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2009,46.358,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2008,46.674,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2007,48.484,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2006,50.506,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2005,51.808,I
BFA,LAP_2GDP_NOC_RT,XA:2034,2004,52.904,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2020,42.232,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2019,42.401,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2018,42.935,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2017,43.62,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2016,43.169,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2015,43.697,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2014,44.163,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2013,44.229,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2012,43.792,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2011,43.867,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2010,44.699,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2009,45.2,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2008,44.347,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2007,43.425,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2006,43.798,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2005,43.945,I
BGD,LAP_2GDP_NOC_RT,XA:1939,2004,45.141,I
BGR,LAP_2GDP_NOC_RT,XA:2203,2020,53.479,
BGR,LAP_2GDP_NOC_RT,XA:2203,2019,52.33,
BGR,LAP_2GDP_NOC_RT,XA:2203,2018,53.173,
BGR,LAP_2GDP_NOC_RT,XA:2203,2017,52.823,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2016,51.356,
BGR,LAP_2GDP_NOC_RT,XA:2203,2015,50.552,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2014,50.378,
BGR,LAP_2GDP_NOC_RT,XA:2203,2013,50.018,
BGR,LAP_2GDP_NOC_RT,XA:2203,2012,45.639,
BGR,LAP_2GDP_NOC_RT,XA:2203,2011,42.509,
BGR,LAP_2GDP_NOC_RT,XA:2203,2010,43.636,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2009,42.072,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2008,39.723,
BGR,LAP_2GDP_NOC_RT,XA:2203,2007,38.305,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2006,39.104,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2005,40.49,M
BGR,LAP_2GDP_NOC_RT,XA:2203,2004,41.32,M
BHR,LAP_2GDP_NOC_RT,XA:2081,2020,31.457,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2019,30.489,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2018,31.739,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2017,31.29,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2016,33.332,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2015,33.135,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2014,29.719,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2013,28.96,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2012,29.368,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2011,27.789,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2010,29.607,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2009,30.658,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2008,25.998,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2007,26.874,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2006,25.889,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2005,27.163,I
BHR,LAP_2GDP_NOC_RT,XA:2081,2004,29.848,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2020,40.35,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2019,37.621,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2018,38.131,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2017,38.517,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2016,37.019,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2015,35.654,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2014,36.89,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2013,39.127,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2012,40,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2011,39.668,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2010,40.112,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2009,40.633,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2008,38.479,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2007,40.008,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2006,41.689,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2005,39.654,I
BHS,LAP_2GDP_NOC_RT,XA:2097,2004,40.938,I
BIH,LAP_2GDP_NOC_RT,XA:2113,2020,53.487,
BIH,LAP_2GDP_NOC_RT,XA:2113,2019,53.529,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2018,52.229,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2017,53.033,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2016,54.198,
BIH,LAP_2GDP_NOC_RT,XA:2113,2015,55.711,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2014,55.639,
BIH,LAP_2GDP_NOC_RT,XA:2113,2013,56.716,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2012,57.989,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2011,56.196,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2010,56.212,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2009,56.991,
BIH,LAP_2GDP_NOC_RT,XA:2113,2008,55.106,
BIH,LAP_2GDP_NOC_RT,XA:2113,2007,52.226,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2006,51.303,
BIH,LAP_2GDP_NOC_RT,XA:2113,2005,51.733,M
BIH,LAP_2GDP_NOC_RT,XA:2113,2004,50.938,M
BLR,LAP_2GDP_NOC_RT,XA:2129,2020,51.097,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2019,50.991,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2018,49.631,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2017,49.002,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2016,49.261,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2015,49.775,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2014,51.44,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2013,52.669,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2012,45.212,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2011,42.524,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2010,49.831,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2009,48.105,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2008,45.577,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2007,47.002,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2006,48.31,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2005,46.532,I
BLR,LAP_2GDP_NOC_RT,XA:2129,2004,44.718,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2020,50.387,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2019,47.987,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2018,46.651,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2017,46.801,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2016,47.491,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2015,46.958,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2014,46.746,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2013,47.786,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2012,47.426,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2011,47.606,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2010,47.216,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2009,47.893,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2008,47.34,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2007,47.698,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2006,46.939,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2005,47.475,I
BLZ,LAP_2GDP_NOC_RT,XA:2145,2004,46.933,I
BOL,LAP_2GDP_NOC_RT,XA:1907,2020,54.874,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2019,55.118,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2018,55.149,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2017,54.921,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2016,55.11,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2015,52.679,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2014,49.87,
BOL,LAP_2GDP_NOC_RT,XA:1907,2013,44.771,
BOL,LAP_2GDP_NOC_RT,XA:1907,2012,43.457,
BOL,LAP_2GDP_NOC_RT,XA:1907,2011,44.919,
BOL,LAP_2GDP_NOC_RT,XA:1907,2010,45.144,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2009,46.968,
BOL,LAP_2GDP_NOC_RT,XA:1907,2008,44.43,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2007,47.612,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2006,49.839,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2005,56.796,M
BOL,LAP_2GDP_NOC_RT,XA:1907,2004,58.827,
BRA,LAP_2GDP_NOC_RT,XA:2002,2020,63.11,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2019,60.652,
BRA,LAP_2GDP_NOC_RT,XA:2002,2018,60.663,
BRA,LAP_2GDP_NOC_RT,XA:2002,2017,61.205,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2016,61.425,
BRA,LAP_2GDP_NOC_RT,XA:2002,2015,61.527,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2014,59.67,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2013,58.988,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2012,57.797,
BRA,LAP_2GDP_NOC_RT,XA:2002,2011,58.335,
BRA,LAP_2GDP_NOC_RT,XA:2002,2010,57.903,M
BRA,LAP_2GDP_NOC_RT,XA:2002,2009,59.301,
BRA,LAP_2GDP_NOC_RT,XA:2002,2008,57.518,
BRA,LAP_2GDP_NOC_RT,XA:2002,2007,56.826,
BRA,LAP_2GDP_NOC_RT,XA:2002,2006,58.186,
BRA,LAP_2GDP_NOC_RT,XA:2002,2005,56.927,
BRA,LAP_2GDP_NOC_RT,XA:2002,2004,56.108,
BRB,LAP_2GDP_NOC_RT,XA:2193,2020,59.153,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2019,55.852,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2018,55.942,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2017,55.621,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2016,55.172,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2015,55.186,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2014,55.745,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2013,56.045,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2012,55.831,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2011,55.891,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2010,56.257,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2009,56.834,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2008,55.613,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2007,55.301,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2006,54.425,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2005,54.885,I
BRB,LAP_2GDP_NOC_RT,XA:2193,2004,55.425,I
BRN,LAP_2GDP_NOC_RT,XA:2014,2020,35.636,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2019,31.725,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2018,30.681,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2017,32.29,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2016,34.471,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2015,30.57,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2014,25.545,
BRN,LAP_2GDP_NOC_RT,XA:2014,2013,23.413,M
BRN,LAP_2GDP_NOC_RT,XA:2014,2012,22.085,M
