intervention_id,target_group,int_age_range,intervention_name,intervention_def,in_list,list_name,list_def,analysis_inclusion,add_to_list
12,Pregnant and lactating women,NA,12. Provision of micronutrient supplementation.,NA,TRUE,Multiple micronutrient supplementation (iron and multiple micronutrients) in pregnancy,"Percent of pregnant women taking a multiple micronutrient supplement daily. A multiple micronutrient supplement is defined as a supplement containing at least iron, folate, and additional vitamins/minerals.",FALSE,FALSE
12-a,Pregnant and lactating women,Pregnant and lactating women,12-a. Provide iron supplementation for pregnant and lactating women.,"During the emergency response, pregnant and lactating women received from a qualified personnel at least one scheme of iron-containing supplement according to national guidelines.",TRUE,Iron supplementation in pregnancy,"Percent of pregnant women taking an iron supplement daily, for at least 90 days.",TRUE,FALSE
12-b,Pregnant and lactating women,Pregnant and lactating women,12-b. Provide folic acid supplementation for pregnant and lactating women.,"During the emergency response, pregnant and lactating women received from a qualified personnel at least one scheme of acid folic- containing supplement according to the national guidelines.",TRUE,Folic acid fortification/supplementation,Percent of women 15-49 that have appropriate supplementation or food fortification (0.4 mg folic acid per day) around the time of pregnancy.,TRUE,FALSE
12-c,Pregnant and lactating women,Pregnant and lactating women,12-c. Provide iron and folic acid supplementation for pregnant and lactating women.,"During the emergency response, pregnant and lactating women received from a qualified personnel at least one scheme of an iron and folic acid containing supplement according to the national guidelines.",TRUE,Iron and folic acid supplementation in pregnancy,See corresponding definitions.,TRUE,FALSE
12-d,Pregnant and lactating women,Pregnant and lactating women,12-d. Provide multiple micronutrient supplementation for pregnant and lactating women.,"During the emergency response, pregnant and lactating women received from a qualified personnel at least one scheme of multiple micronutrient supplementation according to the national guidelines.",TRUE,Multiple micronutrient supplementation (iron and multiple micronutrients) in pregnancy,"Percent of pregnant women taking a multiple micronutrient supplement daily. A multiple micronutrient supplement is defined as a supplement containing at least iron, folate, and additional vitamins/minerals.",TRUE,FALSE
13,Pregnant and lactating women,Pregnant and lactating women,13. Nutrition screening of pregnant and lactating women for malnutrition.,NA,FALSE,NA,NA,TRUE,FALSE
13-a,Pregnant and lactating women,Pregnant and lactating women,13-a. by using MUAC measurement.,A nutritional assessment of pregnant and lactating women is carried out by qualified and standardized personnel by using the Middle Up Arm Circumference (MUAC) measurement.,FALSE,NA,NA,FALSE,FALSE
13-b,Pregnant and lactating women,Pregnant and lactating women,13-b. by using BMI.,A nutritional assessment of pregnant and lactating women is carried out by qualified and standardized personnel by using the Body Mass Index (BMI),FALSE,NA,NA,FALSE,FALSE
13-c,Pregnant and lactating women,Pregnant and lactating women,13-c. by using hemoglobin levels (anemia screening).,"A nutritional assessment of pregnant and lactating women is carried out by qualified personnel by determine hemoglobin blood levels, using an hemoglobinometer",FALSE,NA,NA,FALSE,FALSE
14,Pregnant and lactating women,Pregnant and lactating women,14. Treatment of undernutrition in pregnant and lactating women (energy-protein supplementation).,"Pregnant and lactating women affected by undernutrition according to BMI scale, received a energy protein supplement (ready to use supplement or supplementary food).",TRUE,Balanced energy supplementation,Percent of pregnant women who are food insecure who receive balanced protein energy supplementation.,TRUE,FALSE
15,Pregnant and lactating women,Pregnant and lactating women,15. Treatment of anemia in pregnant and lactating women.,"Pregnant and lactating women detected with anemia by determine hemoglobin levels, receive treatment according to national guidelines.",FALSE,Treatment of anemia in pregnant and lactating women.,NA,TRUE,TRUE
